country_name,avg_esg
Luxembourg,103.95326492475863
St. Kitts and Nevis,88.91817704545454
"Hong Kong SAR, China",82.38035505016666
Vanuatu,72.36634983461539
Japan,71.66198941125828
Dominica,63.19623444444445
West Bank and Gaza,60.59824390625
Lebanon,59.31512555603449
"Macao SAR, China",58.203684699727276
Grenada,58.08936901764706
